X,Y,LINE,LINENUM,LINENUM2,STNSEQ,STNSEQ2,DIR,STOPNUM,STATION,LAT,LONG,TPIS_NAME,POINT_X,POINT_Y
-118.16814,34.033319,Gold,804,0,25,0,,80403,Maravilla Station,34.033319,-118.168140,Mravilla,6510723.51642999984,1834550.20522999996
-118.192182,34.0343,Gold,804,0,24,0,,80404,Indiana Station,34.034300,-118.192182,Indiana,6503439.94885999989,1834920.26585000008
-118.210061,34.043747,Gold,804,0,23,0,,80405,Soto Station,34.043747,-118.210061,Soto,6498030.21602999978,1838369.04660000000
-118.219648,34.047215,Gold,804,0,22,0,,80406,Mariachi Plaza / Boyle Heights Station,34.047215,-118.219648,Mariachi,6495128.66655999981,1839637.32474000007
-118.22594,34.047634,Gold,804,0,21,0,,80407,Pico / Aliso Station,34.047634,-118.225940,Pi/Aliso,6493222.97601000033,1839794.03135999991
-118.237901,34.0501,Gold,804,0,20,0,,80408,Little Tokyo / Arts District Station,34.050100,-118.237901,L Tokyo,6489601.77747999970,1840699.81449000002
-118.234759,34.056061,Gold,804,0,19,0,,80409,Union Station - Metro Gold Line,34.056061,-118.234759,UnionSta,6490558.61579999980,1842866.89477999997
-118.23584,34.063861,Gold,804,0,18,0,,80410,Chinatown Station,34.063861,-118.235840,Chinatwn,6490237.84363000002,1845706.22442999994
-118.220429,34.080949,Gold,804,0,17,0,,80411,Lincoln Heights / Cypress Park Station,34.080949,-118.220429,Linc/Cyp,6494919.00021000020,1851914.26655000006
-118.213213,34.087227,Gold,804,0,16,0,,80412,Heritage Square / Arroyo Station,34.087227,-118.213213,Hrtge Sq,6497108.90565000009,1854194.23148999992
-118.206712,34.098243,Gold,804,0,15,0,,80413,Southwest Museum Station,34.098243,-118.206712,SW Mus,6499085.55436000042,1858199.04162000003
-118.192606,34.111179,Gold,804,0,14,0,,80414,Highland Park Station,34.111179,-118.192606,Highl Pk,6503365.09650999960,1862898.20290999999
-118.157886,34.115186,Gold,804,0,13,0,,80415,South Pasadena Station,34.115186,-118.157886,So Pas,6513877.07344000041,1864338.09991000011
-118.148126,34.133521,Gold,804,0,12,0,,80416,Fillmore Station,34.133521,-118.148126,Fillmore,6516841.10156000033,1871006.04175999993
-118.148214,34.14191,Gold,804,0,11,0,,80417,Del Mar Station,34.141910,-118.148214,Del Mar,6516818.97279000003,1874058.98912000004
-118.147512,34.148356,Gold,804,0,10,0,,80418,Memorial Park Station,34.148356,-118.147512,Mem Pk,6517034.83158999961,1876404.49172999989
-118.13139,34.151806,Gold,804,0,9,0,,80419,Lake Station,34.151806,-118.131390,Lake,6521914.40814999957,1877653.24145000009
-118.114348,34.152417,Gold,804,0,8,0,,80420,Allen Station,34.152417,-118.114348,Allen,6527070.74356999993,1877869.29272000003
-118.081212,34.147752,Gold,804,0,7,0,,80421,Sierra Madre Villa Station,34.147752,-118.081212,Pasadena,6537094.64747999981,1876161.86207000003
-118.404255,34.029323,EXPO,806,0,13,0,,80133,Palms Station,34.029323,-118.404255,Palms,6439180.00000000000,1833300.00000000000
-118.424576,34.036816,EXPO,806,0,14,0,,80134,Westwood / Rancho Park Station,34.036816,-118.424576,Westwood,6433034.00000000000,1836052.00000000000
-118.434234,34.035408,EXPO,806,0,15,0,,80135,Expo / Sepulveda Station,34.035408,-118.434234,Sepulveda,6430106.00000000000,1835552.00000000000
-118.452896,34.031705,EXPO,806,0,16,0,,80136,Expo / Bundy Station,34.031705,-118.452896,Bundy,6424446.00000000000,1834230.00000000000
-118.46912,34.027995,EXPO,806,0,17,0,,80137,26th St / Bergamot Station,34.027995,-118.469120,26th/Berg,6419524.00000000000,1832902.00000000000
-118.480372,34.023155,EXPO,806,0,18,0,,80138,17th St / SMC Station,34.023155,-118.480372,17th/SMC,6416106.00000000000,1831157.00000000000
-118.491384,34.01401,EXPO,806,0,19,0,,80139,Downtown Santa Monica Station,34.014010,-118.491384,S Monica,6412753.00000000000,1827845.00000000000
-118.029199,34.14286,Gold,804,0,6,0,,80422,Arcadia Station,34.142860,-118.029199,Arcadia,6552832.00000000000,1874373.00000000000
-118.003473,34.133155,Gold,804,0,5,0,,80423,Monrovia Station,34.133155,-118.003473,Monrovia,6560616.00000000000,1870840.00000000000
-117.96768,34.132518,Gold,804,0,4,0,,80424,Duarte / City of Hope Station,34.132518,-117.967680,Duarte,6571447.00000000000,1870610.00000000000
-117.932506,34.129048,Gold,804,0,3,0,,80425,Irwindale Station,34.129048,-117.932506,Irwindale,6582093.00000000000,1869352.00000000000
-117.906631,34.135863,Gold,804,0,2,0,,80426,Azusa Downtown Station,34.135863,-117.906631,Azusa,6589921.00000000000,1871838.00000000000
-117.891636,34.136814,Gold,804,0,1,0,,80427,APU / Citrus College Station,34.136814,-117.891636,APU/Cit,6594458.00000000000,1872189.00000000000
