"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Occupied Housing Units","Occupied Housing Units: No Vehicle Available","Occupied Housing Units: 1 Vehicle Available","Occupied Housing Units: 2 Vehicles Available","Occupied Housing Units: 3 Vehicles Available","Occupied Housing Units: 4 Vehicles Available","Occupied Housing Units: 5 or More Vehicles Available","Total","Total: Owner Occupied","Total: Owner Occupied: No Vehicle Available","Total: Owner Occupied: No Vehicle Available: Householder 15 To 34 Years","Total: Owner Occupied: No Vehicle Available: Householder 35 To 64 Years","Total: Owner Occupied: No Vehicle Available: Householder 65 Years And Over","Total:  1 Or More Vehicles Available","Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Total: Renter Occupied","Total: Renter Occupied: No Vehicle Available","Total: Renter Occupied: No Vehicle Available: Householder 15 To 34 Years","Total: Renter Occupied: No Vehicle Available: Householder 35 To 64 Years","Total: Renter Occupied: No Vehicle Available: Householder 65 Years And Over","Total:  1 Or More Vehicles Available","Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Std. Error: Total","Std. Error: Total: Owner Occupied","Std. Error: Total: Owner Occupied: No Vehicle Available","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 15 To 34 Years","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 35 To 64 Years","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 65 Years And Over","Std. Error: Total:  1 Or More Vehicles Available","Std. Error: Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Std. Error: Total: Renter Occupied","Std. Error: Total: Renter Occupied: No Vehicle Available","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 15 To 34 Years","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 35 To 64 Years","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 65 Years And Over","Std. Error: Total:  1 Or More Vehicles Available","Std. Error: Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 65 Years And Over"
"ACSSF","ca","150","00","0017490",,,,,"06","037",,,"212420","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372124202","Block Group 2",,,"Block Group 2, Census Tract 2124.20, Los Angeles County, California","060372124202","62795","0",,,,,,,,459,180,216,63,0,0,0,459,8,0,0,0,0,8,0,0,8,451,180,109,54,17,271,90,134,47,60.60606,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,60.60606,58.18182,52.72727,20.60606,16.36364,53.33333,30.30303,44.24242,27.27273
"ACSSF","ca","150","00","0017491",,,,,"06","037",,,"212501","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372125011","Block Group 1",,,"Block Group 1, Census Tract 2125.01, Los Angeles County, California","060372125011","79596","0",,,,,,,,900,244,527,87,17,25,0,900,24,0,0,0,0,24,8,5,11,876,244,105,92,47,632,255,290,87,60.60606,13.93939,7.878788,7.878788,7.878788,7.878788,13.93939,7.272727,4.848485,11.51515,61.21212,41.21212,31.51515,22.42424,23.63636,61.81818,50.30303,50.30303,29.09091
"ACSSF","ca","150","00","0017492",,,,,"06","037",,,"212502","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372125021","Block Group 1",,,"Block Group 1, Census Tract 2125.02, Los Angeles County, California","060372125021","199922","0",,,,,,,,635,159,326,123,27,0,0,635,61,0,0,0,0,61,20,15,26,574,159,71,79,9,415,151,213,51,87.27273,26.66667,7.878788,7.878788,7.878788,7.878788,26.66667,18.78788,13.93939,17.57576,87.87878,83.0303,39.39394,77.57576,8.484848,55.75758,43.0303,49.69697,24.24242
"ACSSF","ca","150","00","0017493",,,,,"06","037",,,"212502","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372125022","Block Group 2",,,"Block Group 2, Census Tract 2125.02, Los Angeles County, California","060372125022","85163","0",,,,,,,,688,273,333,57,25,0,0,688,20,0,0,0,0,20,0,10,10,668,273,109,137,27,395,186,176,33,58.78788,9.090909,7.878788,7.878788,7.878788,7.878788,9.090909,7.878788,9.69697,9.090909,58.78788,58.78788,42.42424,49.09091,21.21212,58.18182,42.42424,46.06061,24.84848
"ACSSF","ca","150","00","0017494",,,,,"06","037",,,"212610","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372126101","Block Group 1",,,"Block Group 1, Census Tract 2126.10, Los Angeles County, California","060372126101","198327","0",,,,,,,,880,172,406,226,76,0,0,880,290,15,0,0,15,275,28,188,59,590,157,20,94,43,433,64,299,70,81.21212,50.90909,14.54545,7.878788,7.878788,14.54545,50.30303,12.72727,51.51515,21.21212,76.9697,41.21212,13.93939,33.93939,20.60606,76.9697,27.27273,72.12122,31.51515
"ACSSF","ca","150","00","0017495",,,,,"06","037",,,"212610","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372126102","Block Group 2",,,"Block Group 2, Census Tract 2126.10, Los Angeles County, California","060372126102","158830","0",,,,,,,,928,190,359,318,31,30,0,928,70,0,0,0,0,70,6,37,27,858,190,126,64,0,668,190,393,85,86.66666,35.75758,7.878788,7.878788,7.878788,7.878788,35.75758,6.060606,28.48485,19.39394,82.42424,47.87879,42.42424,30.30303,7.878788,84.84849,67.27273,51.51515,35.15152
"ACSSF","ca","150","00","0017496",,,,,"06","037",,,"212620","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372126201","Block Group 1",,,"Block Group 1, Census Tract 2126.20, Los Angeles County, California","060372126201","149306","0",,,,,,,,756,222,290,201,21,22,0,756,32,7,0,0,7,25,0,19,6,724,215,7,154,54,509,128,301,80,72.12122,16.36364,6.060606,7.878788,7.878788,6.060606,15.75758,7.878788,15.75758,5.454545,71.51515,52.72727,6.666667,46.06061,24.84848,72.12122,42.42424,59.39394,33.33333
"ACSSF","ca","150","00","0017497",,,,,"06","037",,,"212620","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372126202","Block Group 2",,,"Block Group 2, Census Tract 2126.20, Los Angeles County, California","060372126202","139313","0",,,,,,,,983,190,503,214,76,0,0,983,40,0,0,0,0,40,0,40,0,943,190,83,47,60,753,226,419,108,85.45454,19.39394,7.878788,7.878788,7.878788,7.878788,19.39394,7.878788,19.39394,7.878788,83.63636,49.69697,38.78788,24.84848,30.90909,86.06061,44.84848,63.0303,58.78788
"ACSSF","ca","150","00","0017498",,,,,"06","037",,,"212701","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372127011","Block Group 1",,,"Block Group 1, Census Tract 2127.01, Los Angeles County, California","060372127011","469617","0",,,,,,,,796,70,320,235,146,15,10,796,328,21,6,0,15,307,0,115,192,468,49,20,11,18,419,127,269,23,50.90909,44.24242,13.33333,5.454545,7.878788,12.72727,41.81818,7.878788,30.90909,37.57576,44.84848,18.18182,13.33333,7.878788,9.090909,47.27273,35.75758,41.21212,16.36364
"ACSSF","ca","150","00","0017499",,,,,"06","037",,,"212702","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372127021","Block Group 1",,,"Block Group 1, Census Tract 2127.02, Los Angeles County, California","060372127021","285502","0",,,,,,,,643,0,219,345,42,37,0,643,221,0,0,0,0,221,9,204,8,422,0,0,0,0,422,94,289,39,89.09091,67.87878,7.878788,7.878788,7.878788,7.878788,67.87878,8.484848,66.66666,9.69697,68.48485,7.878788,7.878788,7.878788,7.878788,68.48485,39.39394,58.78788,18.78788
"ACSSF","ca","150","00","0017500",,,,,"06","037",,,"212702","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372127022","Block Group 2",,,"Block Group 2, Census Tract 2127.02, Los Angeles County, California","060372127022","259397","0",,,,,,,,606,36,300,192,78,0,0,606,260,0,0,0,0,260,9,144,107,346,36,0,26,10,310,72,155,83,64.24242,46.06061,7.878788,7.878788,7.878788,7.878788,46.06061,8.484848,37.57576,28.48485,53.33333,23.63636,7.878788,22.42424,9.090909,56.9697,35.15152,51.51515,36.9697
"ACSSF","ca","150","00","0017501",,,,,"06","037",,,"212702","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372127023","Block Group 3",,,"Block Group 3, Census Tract 2127.02, Los Angeles County, California","060372127023","335717","0",,,,,,,,129,10,36,83,0,0,0,129,102,10,0,10,0,92,0,43,49,27,0,0,0,0,27,0,8,19,29.09091,26.66667,9.090909,7.878788,9.090909,7.878788,25.45455,7.878788,17.57576,20.60606,18.78788,7.878788,7.878788,7.878788,7.878788,18.78788,7.878788,7.272727,16.9697
"ACSSF","ca","150","00","0017502",,,,,"06","037",,,"212800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372128001","Block Group 1",,,"Block Group 1, Census Tract 2128, Los Angeles County, California","060372128001","322451","0",,,,,,,,600,53,145,323,59,20,0,600,386,0,0,0,0,386,8,203,175,214,53,0,33,20,161,52,101,8,94.54546,79.39394,7.878788,7.878788,7.878788,7.878788,79.39394,7.878788,69.69697,53.93939,69.69697,40,7.878788,32.12121,21.21212,55.15152,30.90909,56.36364,8.484848
"ACSSF","ca","150","00","0017503",,,,,"06","037",,,"212800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372128002","Block Group 2",,,"Block Group 2, Census Tract 2128, Los Angeles County, California","060372128002","196039","0",,,,,,,,403,83,137,121,62,0,0,403,92,0,0,0,0,92,16,57,19,311,83,0,51,32,228,55,149,24,58.18182,29.69697,7.878788,7.878788,7.878788,7.878788,29.69697,13.33333,23.63636,16.36364,61.21212,40.60606,7.878788,32.72727,25.45455,58.18182,28.48485,51.51515,17.57576
"ACSSF","ca","150","00","0017504",,,,,"06","037",,,"212800","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372128003","Block Group 3",,,"Block Group 3, Census Tract 2128, Los Angeles County, California","060372128003","262785","0",,,,,,,,366,67,192,49,58,0,0,366,127,13,0,5,8,114,0,80,34,239,54,21,0,33,185,53,85,47,65.45454,45.45454,10.90909,7.878788,6.666667,7.878788,44.84848,7.878788,33.93939,27.27273,63.63636,30.30303,19.39394,7.878788,23.63636,61.81818,34.54546,39.39394,36.36364
"ACSSF","ca","150","00","0017505",,,,,"06","037",,,"212900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372129001","Block Group 1",,,"Block Group 1, Census Tract 2129, Los Angeles County, California","060372129001","181445","0",,,,,,,,489,56,175,211,38,9,0,489,137,19,0,0,19,118,0,110,8,352,37,9,20,8,315,98,163,54,79.39394,46.06061,18.78788,7.878788,7.878788,18.78788,47.87879,7.878788,47.87879,7.878788,67.87878,17.57576,9.090909,14.54545,9.090909,64.84849,38.18182,50.30303,29.69697
"ACSSF","ca","150","00","0017506",,,,,"06","037",,,"212900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372129002","Block Group 2",,,"Block Group 2, Census Tract 2129, Los Angeles County, California","060372129002","192175","0",,,,,,,,951,222,526,153,50,0,0,951,23,0,0,0,0,23,0,0,23,928,222,51,69,102,706,176,449,81,84.24242,20.60606,7.878788,7.878788,7.878788,7.878788,20.60606,7.878788,7.878788,20.60606,78.78788,60.60606,29.69697,29.69697,44.84848,79.39394,49.69697,68.48485,70.90909
"ACSSF","ca","150","00","0017507",,,,,"06","037",,,"213100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372131001","Block Group 1",,,"Block Group 1, Census Tract 2131, Los Angeles County, California","060372131001","253234","0",,,,,,,,667,103,222,238,86,18,0,667,122,0,0,0,0,122,4,113,5,545,103,5,48,50,442,49,338,55,70.90909,25.45455,7.878788,7.878788,7.878788,7.878788,25.45455,3.636364,26.66667,4.848485,67.27273,24.84848,5.454545,20.60606,16.36364,67.27273,24.24242,64.24242,22.42424
"ACSSF","ca","150","00","0017508",,,,,"06","037",,,"213100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372131002","Block Group 2",,,"Block Group 2, Census Tract 2131, Los Angeles County, California","060372131002","283810","0",,,,,,,,366,9,175,102,66,9,5,366,157,0,0,0,0,157,29,77,51,209,9,0,0,9,200,56,141,3,60.60606,27.87879,7.878788,7.878788,7.878788,7.878788,27.87879,11.51515,19.39394,17.57576,55.15152,6.666667,7.878788,7.878788,6.666667,55.15152,21.21212,52.12121,4.242424
"ACSSF","ca","150","00","0017509",,,,,"06","037",,,"213201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372132011","Block Group 1",,,"Block Group 1, Census Tract 2132.01, Los Angeles County, California","060372132011","119941","0",,,,,,,,489,85,239,165,0,0,0,489,0,0,0,0,0,0,0,0,0,489,85,0,85,0,404,91,305,8,75.75758,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,75.75758,49.09091,7.878788,49.09091,7.878788,72.12122,52.72727,60.60606,7.272727
"ACSSF","ca","150","00","0017510",,,,,"06","037",,,"213201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372132012","Block Group 2",,,"Block Group 2, Census Tract 2132.01, Los Angeles County, California","060372132012","113776","0",,,,,,,,554,93,204,213,16,28,0,554,104,13,0,0,13,91,30,24,37,450,80,46,2,32,370,50,232,88,63.63636,40.60606,12.72727,7.878788,7.878788,12.72727,37.57576,18.78788,16.36364,30.30303,67.27273,49.09091,38.18182,4.242424,30.30303,63.63636,23.0303,50.30303,38.18182
"ACSSF","ca","150","00","0017511",,,,,"06","037",,,"213201","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372132013","Block Group 3",,,"Block Group 3, Census Tract 2132.01, Los Angeles County, California","060372132013","101225","0",,,,,,,,582,152,242,177,11,0,0,582,31,0,0,0,0,31,0,31,0,551,152,33,94,25,399,141,229,29,80.60606,20.60606,7.878788,7.878788,7.878788,7.878788,20.60606,7.878788,20.60606,7.878788,79.39394,60,20,54.54546,16.36364,61.21212,43.63636,53.93939,32.12121
"ACSSF","ca","150","00","0017512",,,,,"06","037",,,"213202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372132021","Block Group 1",,,"Block Group 1, Census Tract 2132.02, Los Angeles County, California","060372132021","136598","0",,,,,,,,417,74,167,145,21,0,10,417,46,0,0,0,0,46,0,0,46,371,74,24,50,0,297,125,149,23,50.30303,27.27273,7.878788,7.878788,7.878788,7.878788,27.27273,7.878788,7.878788,27.27273,51.51515,38.78788,24.84848,29.09091,7.878788,47.27273,41.21212,33.33333,12.12121
"ACSSF","ca","150","00","0017513",,,,,"06","037",,,"213202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372132022","Block Group 2",,,"Block Group 2, Census Tract 2132.02, Los Angeles County, California","060372132022","201326","0",,,,,,,,852,171,323,299,52,0,7,852,189,23,0,23,0,166,8,90,68,663,148,17,98,33,515,62,274,179,96.9697,50.30303,15.75758,7.878788,15.75758,7.878788,45.45454,7.878788,38.18182,29.09091,88.48485,40.60606,17.57576,36.36364,16.36364,82.42424,25.45455,80.60606,50.90909
"ACSSF","ca","150","00","0017514",,,,,"06","037",,,"213310","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372133101","Block Group 1",,,"Block Group 1, Census Tract 2133.10, Los Angeles County, California","060372133101","155519","0",,,,,,,,444,49,186,176,25,0,8,444,94,0,0,0,0,94,38,40,16,350,49,0,13,36,301,88,152,61,66.06061,30.30303,7.878788,7.878788,7.878788,7.878788,30.30303,26.06061,27.87879,12.72727,65.45454,27.27273,7.878788,12.72727,24.24242,62.42424,48.48485,48.48485,35.75758
"ACSSF","ca","150","00","0017515",,,,,"06","037",,,"213310","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372133102","Block Group 2",,,"Block Group 2, Census Tract 2133.10, Los Angeles County, California","060372133102","156570","0",,,,,,,,456,122,164,55,88,0,27,456,54,0,0,0,0,54,5,7,42,402,122,55,43,24,280,105,167,8,67.27273,35.15152,7.878788,7.878788,7.878788,7.878788,35.15152,4.848485,7.878788,34.54546,62.42424,41.81818,33.33333,26.06061,16.9697,57.57576,40,47.87879,8.484848
"ACSSF","ca","150","00","0017516",,,,,"06","037",,,"213320","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372133201","Block Group 1",,,"Block Group 1, Census Tract 2133.20, Los Angeles County, California","060372133201","155801","0",,,,,,,,597,208,246,63,80,0,0,597,56,15,0,0,15,41,0,8,33,541,193,0,114,79,348,57,234,57,71.51515,29.09091,13.93939,7.878788,7.878788,13.93939,24.84848,7.878788,7.272727,23.0303,72.72727,58.18182,7.878788,39.39394,34.54546,73.33334,33.93939,69.69697,32.72727
"ACSSF","ca","150","00","0017517",,,,,"06","037",,,"213320","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372133202","Block Group 2",,,"Block Group 2, Census Tract 2133.20, Los Angeles County, California","060372133202","155637","0",,,,,,,,379,176,96,82,8,17,0,379,25,0,0,0,0,25,22,3,0,354,176,17,49,110,178,62,116,0,66.06061,17.57576,7.878788,7.878788,7.878788,7.878788,17.57576,16.36364,6.666667,7.878788,67.27273,45.45454,16.9697,27.87879,38.18182,53.33333,32.72727,41.81818,7.878788
"ACSSF","ca","150","00","0017518",,,,,"06","037",,,"213401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372134011","Block Group 1",,,"Block Group 1, Census Tract 2134.01, Los Angeles County, California","060372134011","93779","0",,,,,,,,782,175,432,121,35,19,0,782,23,0,0,0,0,23,0,23,0,759,175,25,71,79,584,157,311,116,79.39394,18.18182,7.878788,7.878788,7.878788,7.878788,18.18182,7.878788,18.18182,7.878788,79.39394,62.42424,17.57576,33.33333,52.12121,76.9697,53.93939,67.87878,29.69697
"ACSSF","ca","150","00","0017519",,,,,"06","037",,,"213401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372134012","Block Group 2",,,"Block Group 2, Census Tract 2134.01, Los Angeles County, California","060372134012","35266","0",,,,,,,,394,85,137,94,78,0,0,394,0,0,0,0,0,0,0,0,0,394,85,35,18,32,309,68,225,16,84.24242,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,84.24242,40,17.57576,17.57576,31.51515,82.42424,33.33333,77.57576,11.51515
"ACSSF","ca","150","00","0017520",,,,,"06","037",,,"213401","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372134013","Block Group 3",,,"Block Group 3, Census Tract 2134.01, Los Angeles County, California","060372134013","67055","0",,,,,,,,431,88,264,54,25,0,0,431,0,0,0,0,0,0,0,0,0,431,88,42,46,0,343,69,256,18,66.66666,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,66.66666,38.78788,26.66667,29.69697,7.878788,62.42424,26.66667,66.06061,12.72727
"ACSSF","ca","150","00","0017521",,,,,"06","037",,,"213402","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372134021","Block Group 1",,,"Block Group 1, Census Tract 2134.02, Los Angeles County, California","060372134021","127447","0",,,,,,,,716,73,398,187,52,6,0,716,112,0,0,0,0,112,12,47,53,604,73,19,48,6,531,106,385,40,142.4242,45.45454,7.878788,7.878788,7.878788,7.878788,45.45454,12.72727,19.39394,37.57576,135.7576,24.24242,18.78788,22.42424,6.666667,132.7273,38.78788,140.6061,22.42424
"ACSSF","ca","150","00","0017522",,,,,"06","037",,,"213402","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372134022","Block Group 2",,,"Block Group 2, Census Tract 2134.02, Los Angeles County, California","060372134022","123626","0",,,,,,,,439,63,309,67,0,0,0,439,0,0,0,0,0,0,0,0,0,439,63,0,29,34,376,127,228,21,49.69697,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,49.69697,30.90909,7.878788,21.21212,21.81818,47.27273,44.84848,41.21212,12.12121
"ACSSF","ca","150","00","0017523",,,,,"06","037",,,"213402","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372134023","Block Group 3",,,"Block Group 3, Census Tract 2134.02, Los Angeles County, California","060372134023","140773","0",,,,,,,,560,120,279,142,0,0,19,560,10,10,10,0,0,0,0,0,0,550,110,0,88,22,440,111,247,82,63.0303,8.484848,8.484848,8.484848,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,64.24242,38.18182,7.878788,39.39394,14.54545,63.0303,38.18182,53.33333,29.69697
"ACSSF","ca","150","00","0017524",,,,,"06","037",,,"214000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372140001","Block Group 1",,,"Block Group 1, Census Tract 2140, Los Angeles County, California","060372140001","191631","0",,,,,,,,314,8,147,123,26,10,0,314,175,0,0,0,0,175,33,120,22,139,8,0,0,8,131,48,77,6,49.69697,40.60606,7.878788,7.878788,7.878788,7.878788,40.60606,19.39394,38.18182,12.72727,29.09091,7.878788,7.878788,7.878788,7.878788,29.09091,23.0303,35.15152,6.060606
"ACSSF","ca","150","00","0017525",,,,,"06","037",,,"214000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372140002","Block Group 2",,,"Block Group 2, Census Tract 2140, Los Angeles County, California","060372140002","292759","0",,,,,,,,294,44,112,106,24,8,0,294,190,28,0,0,28,162,0,94,68,104,16,7,0,9,88,11,77,0,51.51515,40,21.81818,7.878788,7.878788,21.81818,36.36364,7.878788,34.54546,27.87879,40,11.51515,6.666667,7.878788,9.090909,40,10.90909,38.18182,7.878788
"ACSSF","ca","150","00","0017526",,,,,"06","037",,,"214000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372140003","Block Group 3",,,"Block Group 3, Census Tract 2140, Los Angeles County, California","060372140003","274685","0",,,,,,,,353,35,148,123,36,0,11,353,212,11,0,0,11,201,0,137,64,141,24,0,24,0,117,0,75,42,44.84848,31.51515,9.69697,7.878788,7.878788,9.69697,32.72727,7.878788,33.93939,21.81818,36.36364,16.9697,7.878788,16.9697,7.878788,38.18182,7.878788,26.66667,27.27273
"ACSSF","ca","150","00","0017527",,,,,"06","037",,,"214000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372140004","Block Group 4",,,"Block Group 4, Census Tract 2140, Los Angeles County, California","060372140004","252463","0",,,,,,,,298,32,63,133,32,38,0,298,125,32,0,0,32,93,39,5,49,173,0,0,0,0,173,38,110,25,51.51515,44.24242,29.09091,7.878788,7.878788,29.09091,33.33333,23.0303,6.060606,26.66667,41.21212,7.878788,7.878788,7.878788,7.878788,41.21212,31.51515,26.66667,12.72727
"ACSSF","ca","150","00","0017528",,,,,"06","037",,,"214100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372141001","Block Group 1",,,"Block Group 1, Census Tract 2141, Los Angeles County, California","060372141001","182677","0",,,,,,,,520,0,276,192,52,0,0,520,111,0,0,0,0,111,0,95,16,409,0,0,0,0,409,95,276,38,66.06061,37.57576,7.878788,7.878788,7.878788,7.878788,37.57576,7.878788,35.75758,9.69697,67.27273,7.878788,7.878788,7.878788,7.878788,67.27273,44.24242,58.78788,16.9697
"ACSSF","ca","150","00","0017529",,,,,"06","037",,,"214100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372141002","Block Group 2",,,"Block Group 2, Census Tract 2141, Los Angeles County, California","060372141002","494378","0",,,,,,,,265,0,79,118,68,0,0,265,253,0,0,0,0,253,0,136,117,12,0,0,0,0,12,0,12,0,41.21212,39.39394,7.878788,7.878788,7.878788,7.878788,39.39394,7.878788,35.75758,24.24242,10.30303,7.878788,7.878788,7.878788,7.878788,10.30303,7.878788,10.30303,7.878788
"ACSSF","ca","150","00","0017530",,,,,"06","037",,,"214100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372141003","Block Group 3",,,"Block Group 3, Census Tract 2141, Los Angeles County, California","060372141003","203390","0",,,,,,,,295,0,154,104,29,8,0,295,138,0,0,0,0,138,0,79,59,157,0,0,0,0,157,54,95,8,49.69697,40,7.878788,7.878788,7.878788,7.878788,40,7.878788,36.9697,26.06061,33.93939,7.878788,7.878788,7.878788,7.878788,33.93939,35.15152,35.15152,7.878788
"ACSSF","ca","150","00","0017531",,,,,"06","037",,,"214100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372141004","Block Group 4",,,"Block Group 4, Census Tract 2141, Los Angeles County, California","060372141004","227835","0",,,,,,,,596,45,333,181,37,0,0,596,186,8,0,8,0,178,28,60,90,410,37,0,30,7,373,58,213,102,100,77.57576,7.272727,7.878788,7.272727,7.878788,77.57576,24.24242,40.60606,58.18182,76.36364,20.60606,7.878788,21.21212,6.666667,73.93939,31.51515,44.84848,58.78788
"ACSSF","ca","150","00","0017532",,,,,"06","037",,,"214400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372144001","Block Group 1",,,"Block Group 1, Census Tract 2144, Los Angeles County, California","060372144001","130597","0",,,,,,,,543,51,335,138,19,0,0,543,38,29,8,11,10,9,0,0,9,505,22,8,14,0,483,216,251,16,70.30303,19.39394,17.57576,7.878788,11.51515,9.090909,9.090909,7.878788,7.878788,9.090909,72.72727,15.15152,7.272727,12.72727,7.878788,70.30303,58.18182,46.06061,10.90909
"ACSSF","ca","150","00","0017533",,,,,"06","037",,,"214400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060372144002","Block Group 2",,,"Block Group 2, Census Tract 2144, Los Angeles County, California","060372144002","106545","0",,,,,,,,606,8,343,158,97,0,0,606,0,0,0,0,0,0,0,0,0,606,8,0,8,0,598,238,360,0,87.27273,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,7.878788,87.27273,7.272727,7.878788,7.272727,7.878788,87.27273,50.90909,86.06061,7.878788
