"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Occupied Housing Units","Occupied Housing Units: No Vehicle Available","Occupied Housing Units: 1 Vehicle Available","Occupied Housing Units: 2 Vehicles Available","Occupied Housing Units: 3 Vehicles Available","Occupied Housing Units: 4 Vehicles Available","Occupied Housing Units: 5 or More Vehicles Available","Total","Total: Owner Occupied","Total: Owner Occupied: No Vehicle Available","Total: Owner Occupied: No Vehicle Available: Householder 15 To 34 Years","Total: Owner Occupied: No Vehicle Available: Householder 35 To 64 Years","Total: Owner Occupied: No Vehicle Available: Householder 65 Years And Over","Total:  1 Or More Vehicles Available","Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Total: Renter Occupied","Total: Renter Occupied: No Vehicle Available","Total: Renter Occupied: No Vehicle Available: Householder 15 To 34 Years","Total: Renter Occupied: No Vehicle Available: Householder 35 To 64 Years","Total: Renter Occupied: No Vehicle Available: Householder 65 Years And Over","Total:  1 Or More Vehicles Available","Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Std. Error: Total","Std. Error: Total: Owner Occupied","Std. Error: Total: Owner Occupied: No Vehicle Available","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 15 To 34 Years","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 35 To 64 Years","Std. Error: Total: Owner Occupied: No Vehicle Available: Householder 65 Years And Over","Std. Error: Total:  1 Or More Vehicles Available","Std. Error: Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 65 Years And Over","Std. Error: Total: Renter Occupied","Std. Error: Total: Renter Occupied: No Vehicle Available","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 15 To 34 Years","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 35 To 64 Years","Std. Error: Total: Renter Occupied: No Vehicle Available: Householder 65 Years And Over","Std. Error: Total:  1 Or More Vehicles Available","Std. Error: Total:  1 Or More Vehicles Available: Householder 15 To 34 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 35 To 64 Years","Std. Error: Total:  1 Or More Vehicles Available: Householder 65 Years And Over"
"ACSSF","ca","150","00","0015934",,,,,"06","037",,,"101222","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371012221","Block Group 1",,,"Block Group 1, Census Tract 1012.22, Los Angeles County, California","060371012221","296512","0",,,,,,,,935,196,290,389,28,32,0,935,119,9,0,9,0,110,7,103,0,816,187,0,34,153,629,155,394,80,89.69697,55.15152,9.69697,7.878788,9.69697,7.878788,55.15152,10.90909,49.09091,7.878788,108.4848,87.27273,7.878788,21.21212,85.45454,83.63636,63.0303,86.66666,36.36364
"ACSSF","ca","150","00","0015935",,,,,"06","037",,,"101300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013001","Block Group 1",,,"Block Group 1, Census Tract 1013, Los Angeles County, California","060371013001","1380524","0",,,,,,,,383,15,46,166,90,55,11,383,325,7,0,0,7,318,0,196,122,58,8,0,0,8,50,11,31,8,60,54.54546,7.272727,7.878788,7.878788,7.272727,55.15152,7.878788,53.33333,26.66667,29.09091,7.878788,7.878788,7.878788,7.878788,27.87879,10.90909,25.45455,7.272727
"ACSSF","ca","150","00","0015936",,,,,"06","037",,,"101300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013002","Block Group 2",,,"Block Group 2, Census Tract 1013, Los Angeles County, California","060371013002","627037","0",,,,,,,,385,7,29,240,105,4,0,385,326,7,0,0,7,319,40,153,126,59,0,0,0,0,59,28,22,9,74.54546,72.12122,7.272727,7.878788,7.878788,7.272727,72.12122,27.27273,36.36364,64.84849,32.72727,7.878788,7.878788,7.878788,7.878788,32.72727,26.06061,15.15152,7.878788
"ACSSF","ca","150","00","0015937",,,,,"06","037",,,"101300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013003","Block Group 3",,,"Block Group 3, Census Tract 1013, Los Angeles County, California","060371013003","301040","0",,,,,,,,325,0,32,113,107,64,9,325,309,0,0,0,0,309,29,144,136,16,0,0,0,0,16,0,16,0,52.72727,52.72727,7.878788,7.878788,7.878788,7.878788,52.72727,27.87879,44.84848,46.66667,12.12121,7.878788,7.878788,7.878788,7.878788,12.12121,7.878788,12.12121,7.878788
"ACSSF","ca","150","00","0015938",,,,,"06","037",,,"101300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371013004","Block Group 4",,,"Block Group 4, Census Tract 1013, Los Angeles County, California","060371013004","271877","0",,,,,,,,327,15,101,115,76,20,0,327,218,7,0,0,7,211,35,116,60,109,8,0,8,0,101,0,70,31,58.78788,49.09091,7.878788,7.878788,7.878788,7.878788,50.90909,24.84848,45.45454,20.60606,38.18182,7.272727,7.878788,7.272727,7.878788,36.9697,7.878788,34.54546,20.60606
"ACSSF","ca","150","00","0015939",,,,,"06","037",,,"101400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371014001","Block Group 1",,,"Block Group 1, Census Tract 1014, Los Angeles County, California","060371014001","229930","0",,,,,,,,357,47,89,184,34,0,3,357,198,16,12,4,0,182,59,112,11,159,31,0,31,0,128,30,72,26,87.27273,70.30303,14.54545,13.33333,5.454545,7.878788,70.90909,55.15152,46.66667,13.93939,55.15152,29.69697,7.878788,29.69697,7.878788,48.48485,28.48485,35.15152,18.78788
"ACSSF","ca","150","00","0015940",,,,,"06","037",,,"101400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371014002","Block Group 2",,,"Block Group 2, Census Tract 1014, Los Angeles County, California","060371014002","5272167","0",,,,,,,,449,77,58,127,115,72,0,449,369,22,0,0,22,347,3,236,108,80,55,0,0,55,25,0,25,0,69.69697,63.0303,13.33333,7.878788,7.878788,13.33333,64.84849,7.272727,63.0303,33.33333,33.93939,28.48485,7.878788,7.878788,28.48485,18.18182,7.878788,18.18182,7.878788
"ACSSF","ca","150","00","0015941",,,,,"06","037",,,"101400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371014003","Block Group 3",,,"Block Group 3, Census Tract 1014, Los Angeles County, California","060371014003","807959","0",,,,,,,,498,59,161,136,40,94,8,498,350,24,0,0,24,326,13,178,135,148,35,15,20,0,113,45,59,9,71.51515,50.30303,21.81818,7.878788,7.878788,21.81818,47.87879,13.33333,44.24242,41.21212,61.81818,23.63636,16.36364,16.36364,7.878788,63.0303,34.54546,53.33333,7.878788
"ACSSF","ca","150","00","0015942",,,,,"06","037",,,"102103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021031","Block Group 1",,,"Block Group 1, Census Tract 1021.03, Los Angeles County, California","060371021031","1186484","0",,,,,,,,669,68,203,245,129,20,4,669,419,0,0,0,0,419,58,223,138,250,68,0,68,0,182,48,126,8,69.69697,45.45454,7.878788,7.878788,7.878788,7.878788,45.45454,28.48485,42.42424,22.42424,70.30303,54.54546,7.878788,54.54546,7.878788,41.21212,21.81818,34.54546,6.060606
"ACSSF","ca","150","00","0015943",,,,,"06","037",,,"102104","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021041","Block Group 1",,,"Block Group 1, Census Tract 1021.04, Los Angeles County, California","060371021041","743583","0",,,,,,,,1047,10,212,479,257,75,14,1047,834,10,0,10,0,824,39,536,249,213,0,0,0,0,213,17,158,38,95.15151,99.39394,10.30303,7.878788,10.30303,7.878788,101.2121,23.63636,85.45454,82.42424,66.66666,7.878788,7.878788,7.878788,7.878788,66.66666,12.72727,63.0303,26.66667
